key,displayName,englishName,scientificName,scientificNameAliases,originCountry,idealTemperatureRange,idealHumidityRange,wateringIntervalDays,lightRequirement,careDifficulty,careMemo,status,lightStars,difficultyStars
dendrobium_nobile,デンドロビウム・ノビル,Noble Dendrobium,Dendrobium nobile,,ヒマラヤ・東南アジア,10〜28℃,50〜70%,6,bright_direct,medium,バルブに水分を蓄えるため生育期は土や水苔が乾いたらたっぷり水を与え、秋以降は花芽をつけるため断水気味に管理します。よく日に当てることと秋の低温・断水を組み合わせることで花付きが良くなります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
dendrobium_kingianum,デンドロビウム・キンギアナム,Pink Rock Orchid,Dendrobium kingianum,,オーストラリア,5〜28℃,45〜65%,7,bright_direct,easy,小型でよく群生する丈夫なデンドロビウムで生育期は水苔やバークが乾いたらたっぷり水を与え、冬はやや控えめにします。他のランよりも耐寒性があり屋外の軒下でも育てられます。よく日に当てることで花付きが良くなります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,2
dendrobium_phalaenopsis,デンドロビウム・ファレノプシス,Cooktown Orchid,Dendrobium bigibbum,Dendrobium phalaenopsis,オーストラリア・ニューギニア,15〜30℃,50〜70%,6,bright_indirect,medium,細長いバルブから蝶に似た花を房状に咲かせる品種で生育期は水苔やバークが乾いたらたっぷり水を与え、秋以降は花芽をつけるため断水気味に管理します。明るい場所を好み強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
cymbidium_ensifolium,シュンラン系シンビジウム,Four Season Orchid,Cymbidium ensifolium,,東アジア,10〜28℃,50〜70%,7,bright_indirect,medium,細長い葉と控えめで香りの良い花が特徴の東洋ランの一種で用土が乾いたらたっぷり水を与えます。明るい半日陰を好み強い直射日光は葉焼けの原因になります。年間を通して開花し香りを楽しめるのが魅力です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
cymbidium_goeringii,カンラン（春蘭）,Spring Cymbidium,Cymbidium goeringii,,東アジア,0〜25℃,45〜65%,8,bright_indirect,medium,日本や中国で古くから愛培される東洋ランで用土が乾いたらたっぷり水を与えます。耐寒性があり屋外の軒下でも冬越しできますが、真夏の強い直射日光は避け明るい半日陰で管理してください。早春に控えめで上品な花を咲かせます。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
cattleya_labiata,カトレア・ラビアタ,Cattleya labiata,Cattleya labiata,,ブラジル,15〜28℃,50〜70%,7,bright_direct,medium,大輪で香りの良い花を咲かせるカトレアの代表種でバルブに水分を蓄えるため用土が乾いたらたっぷり水を与えます。よく日に当てることで花付きが良くなりますが真夏の直射日光は葉焼けの原因になるため遮光してください。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
cattleya_walkeriana,カトレア・ワルケリアナ,Cattleya walkeriana,Cattleya walkeriana,,ブラジル,15〜28℃,50〜70%,7,bright_direct,medium,小型ながら大きく香りの良い花を咲かせる人気種でバルブに水分を蓄えるため用土が乾いたらたっぷり水を与えます。よく日に当てることで花付きが良くなりますが真夏の直射日光は葉焼けの原因になるため遮光してください。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
vanda_coerulea,バンダ・コエルレア,Blue Vanda,Vanda coerulea,,インド・東南アジア,18〜30℃,60〜80%,4,bright_direct,hard,青みを帯びた珍しい花色が魅力の着生ランで、根が空気中に露出するバスケット植えが基本のため霧吹きや浸け水で頻繁に水分を補給します。非常に明るい環境を好み、日照不足だと花付きが悪くなります。高い湿度も欠かせないため加湿を心がけましょう。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,5
vanda_tricolor,バンダ・トリカラー,Vanda tricolor,Vanda tricolor,,インドネシア,18〜30℃,60〜80%,4,bright_direct,hard,芳香のある斑点模様の花を咲かせる着生ランで、根が空気中に露出するバスケット植えが基本のため霧吹きや浸け水で頻繁に水分を補給します。非常に明るい環境と高い湿度を好み、環境が合わないと根が傷みやすい繊細な品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,5
oncidium_sphacelatum,オンシジウム・スファセラツム,Dancing Lady Orchid,Oncidium sphacelatum,,中米,15〜28℃,50〜70%,7,bright_indirect,easy,黄色い小花が舞い踊るように房状に咲く丈夫な品種で用土が乾いたらたっぷり水を与えます。明るい半日陰を好み強い直射日光は葉焼けの原因になります。バルブがよく肥大し丈夫で初心者にも育てやすいランです。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
paphiopedilum_callosum,パフィオペディルム・カロースム,Slipper Orchid,Paphiopedilum callosum,,東南アジア,15〜28℃,55〜75%,6,bright_indirect,medium,靴のような形をした袋状の唇弁が特徴的な地生ランで用土が常に軽く湿る程度に水を与えます。バルブを持たないため極端な乾燥に弱く、明るい日陰を好み直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,2,3
paphiopedilum_insigne,パフィオペディルム・インシグネ,Paphiopedilum insigne,Paphiopedilum insigne,,ヒマラヤ,10〜25℃,50〜70%,6,bright_indirect,easy,丈夫で育てやすいことで知られるスリッパオーキッドの一種で用土が常に軽く湿る程度に水を与えます。他のパフィオペディルムより耐寒性があり明るい日陰でよく育ちます。直射日光は葉焼けの原因になるため避けてください。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,2,2
miltonia_spectabilis,ミルトニア・スペクタビリス,Pansy Orchid,Miltonia spectabilis,,ブラジル,15〜25℃,55〜75%,6,bright_indirect,medium,パンジーに似た平たい花が特徴のランで用土が乾いたらたっぷり水を与えます。他のランより乾燥に弱く常に適度な湿度を保つことが大切です。明るい日陰を好み直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
brassavola_nodosa,ブラサボラ・ノドサ,Lady of the Night,Brassavola nodosa,,中南米,18〜30℃,45〜65%,6,bright_direct,easy,夜になると強い芳香を放つ白い花が特徴の丈夫なランでバルブに水分を蓄えるため用土が乾いたらたっぷり水を与えます。よく日に当てることで花付きが良くなり乾燥にも比較的強い品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,2
epidendrum_radicans,エピデンドラム・ラディカンス,Reed Stem Epidendrum,Epidendrum radicans,,中南米,10〜28℃,45〜65%,7,bright_direct,easy,茎から気根を出しながら伸び鮮やかな花を房状に次々と咲かせる丈夫なランで用土が乾いたらたっぷり水を与えます。よく日に当てることで花付きが良くなり、比較的丈夫で育てやすい品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,1
bulbophyllum_lobbii,バルボフィラム・ロビー,Bulbophyllum lobbii,Bulbophyllum lobbii,,東南アジア,15〜28℃,55〜75%,6,bright_indirect,medium,大きく丸みのある花を一輪ずつ咲かせる着生ランで用土や水苔が乾いたらたっぷり水を与えます。高い湿度を好み乾燥に弱いため加湿を心がけてください。明るい日陰を好み直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
masdevallia_veitchiana,マスデバリア・ベイチアナ,Masdevallia veitchiana,Masdevallia veitchiana,,ペルー,10〜22℃,60〜80%,6,bright_indirect,hard,鮮やかなオレンジ色の三角形の花が特徴の高山性ランで用土が常に軽く湿る程度に水を与えます。高温に非常に弱く涼しい環境と高い湿度が欠かせないため、日本の高温多湿な夏の管理には特に注意が必要です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,2,5
laelia_anceps,レリア・アンセプス,Laelia anceps,Laelia anceps,,メキシコ,10〜28℃,45〜65%,7,bright_direct,easy,細長い花茎の先に大輪の花を咲かせる丈夫なランでバルブに水分を蓄えるため用土が乾いたらたっぷり水を与えます。よく日に当てることで花付きが良くなり、比較的乾燥にも強い品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,2
zygopetalum_mackayi,ジゴペタラム・マッカイ,Zygopetalum mackayi,Zygopetalum mackayi,,ブラジル,10〜25℃,50〜70%,6,bright_indirect,medium,芳香のある紫がかった花が特徴のランで用土が乾いたらたっぷり水を与えます。他のランより涼しい環境を好み、明るい日陰で直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
angraecum_sesquipedale,アングレカム・セスキペダレ,Christmas Star Orchid,Angraecum sesquipedale,,マダガスカル,18〜28℃,55〜75%,6,bright_indirect,hard,非常に長い距を持つ星形の白い花を咲かせる希少種で用土や水苔が乾いたらたっぷり水を与えます。高い湿度を好み乾燥に弱いため加湿を心がけてください。明るい日陰を好み直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,4
encyclia_cochleata,エンシクリア・コクレアタ,Cockleshell Orchid,Encyclia cochleata,,中南米,15〜28℃,50〜70%,7,bright_indirect,easy,貝殻のような形の唇弁が特徴のユニークな花を咲かせる丈夫なランでバルブに水分を蓄えるため用土が乾いたらたっぷり水を与えます。明るい日陰でよく育ち比較的育てやすい品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
ludisia_discolor,ルディシア・ディスカラー,Jewel Orchid,Ludisia discolor,,東南アジア,18〜28℃,55〜75%,5,low_light,easy,ビロード状の黒みがかった葉に赤い葉脈が入る、花より葉を楽しむジュエルオーキッドで用土が乾いたらたっぷり水を与えます。他のランと異なり耐陰性が高く室内の明るい日陰でよく育ちます。直射日光は葉焼けの原因になるため避けてください。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,2,2
maxillaria_tenuifolia,マキシラリア・テヌイフォリア,Coconut Orchid,Maxillaria tenuifolia,,中米,15〜28℃,50〜70%,6,bright_indirect,easy,ココナッツのような甘い香りの花を咲かせる丈夫なランで用土が乾いたらたっぷり水を与えます。明るい日陰でよく育ち比較的育てやすい品種です。細長い葉が茂みのように広がります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
coelogyne_cristata,セロジネ・クリスタータ,Coelogyne cristata,Coelogyne cristata,,ヒマラヤ,5〜22℃,50〜70%,7,bright_indirect,medium,白く縁取られた清楚な花を房状に咲かせる涼しい気候を好むランで用土が乾いたらたっぷり水を与えます。高温多湿の日本の夏は苦手なため風通しの良い涼しい場所で管理してください。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
stanhopea_tigrina,スタンホペア・ティグリナ,Tiger Stanhopea,Stanhopea tigrina,,メキシコ,15〜28℃,55〜75%,6,bright_indirect,medium,花茎が鉢底に向かって伸びるため吊り鉢やバスケットで栽培する個性的なランで用土が乾いたらたっぷり水を与えます。強い香りの大輪の花を咲かせますが一輪の花の寿命は数日と短い品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
psychopsis_papilio,サイコプシス・パピリオ,Butterfly Orchid,Psychopsis papilio,,中南米,18〜28℃,50〜70%,6,bright_indirect,medium,蝶が舞うような姿の花を次々と長期間咲かせる品種で用土が乾いたらたっぷり水を与えます。明るい場所を好み強い直射日光は葉焼けの原因になります。一本の花茎から次々と花を咲かせ長く楽しめます。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
rhynchostylis_gigantea,リンコスティリス・ギガンテア,Foxtail Orchid,Rhynchostylis gigantea,,東南アジア,18〜30℃,55〜75%,5,bright_direct,hard,狐の尻尾のような花房を咲かせる着生ランで根が空気中に露出するバスケット植えが基本のため霧吹きや浸け水で頻繁に水分を補給します。非常に明るい環境と高い湿度を好み、日照不足や乾燥だと花付きが悪くなります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,4
vriesea_splendens,ビルベルギア・スプレンデンス,Flaming Sword,Vriesea splendens,,ブラジル,18〜28℃,50〜70%,7,bright_indirect,easy,虎縞模様の葉と剣のような赤い花穂が特徴のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。開花後は子株が出るため株分けで増やせます。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
vriesea_hieroglyphica,ヴリーセア・ヒエログリフィカ,King of Bromeliads,Vriesea hieroglyphica,,ブラジル,18〜28℃,55〜75%,7,bright_indirect,medium,葉に象形文字のような模様が入る大型のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。大きく育つため鉢の置き場所に余裕を持たせましょう。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
guzmania_lingulata,グズマニア・リングラータ,Scarlet Star,Guzmania lingulata,,中南米,18〜28℃,50〜70%,7,bright_indirect,easy,鮮やかな星形の苞葉が長期間楽しめる定番のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。開花後は子株が出るため株分けで増やせます。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,1
guzmania_sanguinea,グズマニア・サンギネア,Guzmania sanguinea,Guzmania sanguinea,,中米,18〜28℃,50〜70%,7,bright_indirect,easy,開花期に葉の中心部が赤やオレンジに色づく品種で、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。発色を楽しむには十分な光を確保しましょう。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
neoregelia_carolinae,ネオレゲリア・カロリナエ,Blushing Bromeliad,Neoregelia carolinae,,ブラジル,18〜28℃,50〜70%,7,bright_indirect,easy,開花期に中心部の葉が鮮やかな赤に色づくブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。発色を良くするには明るい光が必要ですが強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,2
neoregelia_fireball,ネオレゲリア・ファイアボール,Neoregelia 'Fireball',Neoregelia 'Fireball',,中南米原産種の園芸品種,18〜28℃,50〜70%,7,bright_direct,easy,明るい光に当てると葉全体が燃えるような赤色に染まる小型品種で、葉の中心のカップに水を溜めて管理し土は控えめに与えます。発色を楽しむには十分な光が必要で、光量不足だと緑色に戻りやすくなります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,1
aechmea_fasciata,アエクメア・ファスキアタ,Silver Vase Plant,Aechmea fasciata,,ブラジル,15〜28℃,45〜65%,8,bright_indirect,easy,銀白色の縞模様の葉とピンクの花穂が美しい定番のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。花後は子株が出るため株分けで増やせます。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,1
aechmea_chantinii,アエクメア・シャンティニー,Amazonian Zebra Plant,Aechmea chantinii,,アマゾン,18〜28℃,55〜75%,7,bright_indirect,medium,虎縞模様の力強い葉と鮮やかな花序が特徴の大型ブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。他のアエクメアよりやや高い湿度を好み、明るい日陰で強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
billbergia_nutans,ビルベルギア・ヌタンス,Queen's Tears,Billbergia nutans,,ブラジル・アルゼンチン,10〜28℃,45〜65%,8,bright_indirect,easy,細長い葉が茂りしなやかに垂れ下がる花を咲かせる丈夫なブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。他のブロメリアより耐寒性・耐乾性があり育てやすい品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,1
cryptanthus_bivittatus,クリプタンサス・ビビタタス,Earth Star,Cryptanthus bivittatus,,ブラジル,18〜28℃,45〜65%,6,bright_indirect,easy,星形にロゼット状に広がる縞模様の葉が特徴の地生ブロメリアで、他のブロメリアと異なりカップを持たないため土に水を与えます。明るい日陰から半日向でよく育ち、光量に応じて葉色が変化します。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,1
cryptanthus_zonatus,クリプタンサス・ゾナータス,Zebra Plant,Cryptanthus zonatus,,ブラジル,18〜28℃,45〜65%,6,bright_indirect,easy,波打つ縞模様の葉が地表を這うように広がる品種で、他のブロメリアと異なりカップを持たないため土に水を与えます。明るい日陰から半日向でよく育ち、光量不足だと縞模様が薄れやすくなります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,1
dyckia_brevifolia,ディッキア・ブレビフォリア,Dyckia brevifolia,Dyckia brevifolia,,ブラジル,5〜30℃,25〜45%,10,bright_direct,easy,鋸歯状の縁を持つ硬い葉がロゼット状に広がる地生ブロメリアで、他のブロメリアと異なり乾燥に強く土が乾いてから水を与えます。強い直射日光を好み屋外の日当たりの良い場所でよく育ちます。葉のトゲは鋭いため置き場所に注意してください。,新規,5,2
puya_alpestris,プヤ・アルペストリス,Sapphire Tower,Puya alpestris,,チリ,0〜28℃,25〜45%,12,bright_direct,medium,金属的な青緑色の珍しい花を咲かせる地生ブロメリアで、乾燥に強く土が完全に乾いてから水を与えます。耐寒性もあり強い直射日光を好みます。開花までに数年かかる気長に育てる植物です。葉の縁にトゲがあるため置き場所に注意してください。,新規,5,3
ananas_comosus,アナナス・コモサス,Pineapple Plant,Ananas comosus,,南米,18〜30℃,45〜65%,7,bright_direct,easy,実を食べた後の冠芽を植えても育てられる観賞用パイナップルで、生育期は土が乾いたらたっぷり水を与えます。強い光を好み日照不足だと葉が間延びしやすくなります。育てる過程を楽しむ観葉植物として人気です。葉の縁のトゲに注意してください。,新規,4,2
nidularium_innocentii,ニドゥラリウム・イノケンティー,Nidularium innocentii,Nidularium innocentii,,ブラジル,18〜28℃,55〜75%,7,bright_indirect,medium,中心部の苞葉が赤く色づく巣を思わせる姿のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。高い湿度を好み明るい日陰で強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
orthophytum_gurkenii,オルソフィツム・グルケニー,Orthophytum gurkenii,Orthophytum gurkenii,,ブラジル,15〜28℃,40〜60%,8,bright_direct,medium,群生してマット状に広がる小型の地生ブロメリアで、他のブロメリアと異なりカップを持たず土に水を与えます。強い光を好み日照不足だと葉色が薄くなりやすい傾向があります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,3
tillandsia_cyanea,チランジア・シアネア,Pink Quill,Tillandsia cyanea,,エクアドル,15〜28℃,50〜70%,6,bright_indirect,easy,ピンク色の羽根状の苞から紫の花を咲かせる、土に植えられる珍しいタイプのチランジアで用土が乾いたら水を与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,2
aechmea_recurvata,アエクメア・レクルバータ,Aechmea recurvata,Aechmea recurvata,,ブラジル,10〜28℃,45〜65%,8,bright_indirect,easy,開花期に中心部の葉が赤く色づく小型のアエクメアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰から半日向でよく育ち、他のアエクメアより耐寒性があります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,4,2
guzmania_musaica,グズマニア・ムサイカ,Mosaic Guzmania,Guzmania musaica,,中南米,18〜28℃,55〜75%,7,bright_indirect,medium,モザイク状の美しい模様が入る葉が特徴のブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。高い湿度を好み明るい日陰で強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
vriesea_fenestralis,ヴリーセア・フェネストラリス,Netted Vriesea,Vriesea fenestralis,,ブラジル,18〜28℃,55〜75%,7,bright_indirect,medium,網目状の葉脈模様が浮かぶ美しい葉が特徴の大型ブロメリアで、葉の中心のカップに水を溜めて管理し土は控えめに与えます。明るい日陰でよく育ちますが強い直射日光は葉焼けの原因になります。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,3,3
mammillaria_elongata,マミラリア・エロンガータ,Golden Stars Cactus,Mammillaria elongata,,メキシコ,10〜30℃,20〜40%,12,bright_direct,easy,指のように細長い茎が群生する丈夫なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。子株がよく吹き群生株に育てやすい品種です。トゲは鋭いため置き場所に注意してください。,新規,5,1
mammillaria_hahniana,マミラリア・ハーニアナ,Old Lady Cactus,Mammillaria hahniana,,メキシコ,10〜30℃,20〜40%,12,bright_direct,easy,白い長毛に覆われた球形の姿が特徴の人気サボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み白い毛を美しく保つには十分な光が必要です。トゲは鋭いため置き場所に注意してください。,新規,5,1
mammillaria_gracilis,マミラリア・グラキリス,Thimble Cactus,Mammillaria gracilis,,メキシコ,10〜30℃,20〜40%,12,bright_direct,easy,小さな球形の茎が群生してよく増える丈夫なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。子吹きがよく群生株に育てやすい品種です。トゲは鋭いため置き場所に注意してください。,新規,5,1
gymnocalycium_mihanovichii,ギムノカリキウム・ミハノビッチ,Moon Cactus,Gymnocalycium mihanovichii,,パラグアイ・アルゼンチン,10〜28℃,25〜45%,12,bright_indirect,easy,葉緑素を持たない鮮やかな色のサボテンを台木に接ぎ木した品種としても流通し、生育期は土が完全に乾いてから水を与えます。強すぎない明るい光を好み、直射日光は表面が焼けることがあるため注意してください。トゲは鋭いため置き場所に注意してください。,新規,4,2
gymnocalycium_saglionis,ギムノカリキウム・サグリオニス,Gymnocalycium saglionis,Gymnocalycium saglionis,,アルゼンチン,10〜28℃,25〜45%,12,bright_direct,easy,大きく育つ球形の茎と太いトゲが特徴のサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。成長すると存在感のある株になります。トゲは鋭いため置き場所に注意してください。,新規,5,2
astrophytum_myriostigma,アストロフィツム・ミリオスティグマ,Bishop's Cap,Astrophytum myriostigma,,メキシコ,10〜28℃,20〜40%,12,bright_direct,medium,白い綿毛状の斑点に覆われた稜のある姿が特徴の人気サボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。トゲがほとんどなく扱いやすい品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,3
astrophytum_asterias,アストロフィツム・アステリアス,Sand Dollar Cactus,Astrophytum asterias,,メキシコ・アメリカ南部,10〜28℃,20〜40%,12,bright_direct,hard,ほぼ平たい星形の姿が特徴の希少なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと形が崩れやすくなります。成長が非常に遅く根腐れに注意が必要な繊細な品種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,4
astrophytum_ornatum,アストロフィツム・オルナツム,Bishop's Cap,Astrophytum ornatum,,メキシコ,10〜28℃,20〜40%,12,bright_direct,medium,白い斑点模様と力強いトゲが特徴の柱状に育つサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。成長すると大きな柱状に育ちます。トゲは鋭いため置き場所に注意してください。,新規,5,3
echinopsis_oxygona,エキノプシス・オキシゴナ,Easter Lily Cactus,Echinopsis oxygona,,南米,10〜28℃,25〜45%,10,bright_direct,easy,大輪の香りの良い花を咲かせる丈夫な球形サボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み子株がよく吹き群生株に育てやすい品種です。トゲは鋭いため置き場所に注意してください。,新規,5,1
echinopsis_subdenudata,エキノプシス・スブデヌダータ,Domino Cactus,Echinopsis subdenudata,,ボリビア,10〜28℃,25〜45%,10,bright_direct,easy,トゲがほとんどなく白い綿毛が目立つ球形サボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み夜に大きな白い花を咲かせます。トゲが少なく扱いやすい入門種です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,1
opuntia_microdasys,オプンティア・ミクロダシス,Bunny Ears Cactus,Opuntia microdasys,,メキシコ,10〜30℃,20〜40%,12,bright_direct,easy,うさぎの耳のような平たい茎が連なる人気のサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。トゲは小さく見えても刺さると抜けにくいため素手で触れないよう注意してください。,新規,5,2
rebutia_minuscula,レブチア・ミヌスクラ,Red Crown Cactus,Rebutia minuscula,,アルゼンチン,10〜28℃,25〜45%,10,bright_direct,easy,小型で群生しやすく鮮やかな花を毎年咲かせる丈夫なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み小さな鉢でも花を楽しみやすい品種です。トゲは鋭いため置き場所に注意してください。,新規,4,1
ferocactus_glaucescens,フェロカクタス・グラウケッセンス,Blue Barrel Cactus,Ferocactus glaucescens,,メキシコ,10〜30℃,20〜40%,12,bright_direct,medium,青みがかった球体と黄金色のトゲのコントラストが美しいサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。トゲは非常に鋭いため置き場所に十分注意してください。,新規,5,3
echinocactus_grusonii,エキノカクタス・グルソニー,Golden Barrel Cactus,Echinocactus grusonii,,メキシコ,10〜30℃,20〜40%,12,bright_direct,easy,黄金色のトゲに覆われた球形の姿が特徴の人気サボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み大きく育つと存在感のある株になります。トゲは非常に鋭いため置き場所に十分注意してください。,新規,5,2
cereus_peruvianus,ケレウス・ペルビアヌス,Peruvian Apple Cactus,Cereus peruvianus,,南米,10〜30℃,20〜40%,12,bright_direct,easy,柱状に力強く育つ丈夫なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み成長が早く大きく育ちます。トゲは鋭いため置き場所に注意してください。,新規,5,2
espostoa_lanata,エスポストア・ラナータ,Peruvian Old Man Cactus,Espostoa lanata,,ペルー,10〜28℃,25〜45%,11,bright_direct,medium,白い綿毛に覆われた柱状のサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み白い綿毛を美しく保つには十分な光が必要です。誤食は避け、ペットのいる家庭では手の届かない場所に置きましょう。,新規,5,3
lobivia_famatimensis,ロビビア・ファマチメンシス,Lobivia famatimensis,Lobivia famatimensis,,アルゼンチン,10〜28℃,25〜45%,10,bright_direct,easy,小型で色とりどりの花を毎年咲かせる丈夫なサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み子株がよく吹き群生株に育てやすい品種です。トゲは鋭いため置き場所に注意してください。,新規,4,1
notocactus_magnificus,ノトカクタス・マグニフィクス,Blue Ball Cactus,Notocactus magnificus,Parodia magnifica,ブラジル・ウルグアイ,10〜28℃,25〜45%,11,bright_direct,easy,青みがかった稜のある球形が特徴のサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み群生して大きな株に育ちます。トゲは鋭いため置き場所に注意してください。,新規,5,2
parodia_leninghausii,パロディア・レニングハウシー,Golden Ball Cactus,Parodia leninghausii,,ブラジル,10〜28℃,25〜45%,11,bright_direct,easy,黄金色の細かいトゲに覆われた柱状のサボテンで、生育期は土が完全に乾いてから水を与え冬は断水気味にします。強い直射日光を好み日照不足だと徒長しやすくなります。トゲは見た目より柔らかめですが注意してください。,新規,5,2
